msgSucessProb, MaxRetries, Result
0.0, 1, 0.0
0.0, 2, 0.0
0.0, 3, 0.0
0.0, 4, 0.0
0.0, 5, 0.0
0.05, 1, 0.01448
0.05, 2, 0.05136
0.05, 3, 0.10576
0.05, 4, 0.16972
0.05, 5, 0.24232
0.1, 1, 0.05476
0.1, 2, 0.1762
0.1, 3, 0.32228
0.1, 4, 0.45516
0.1, 5, 0.57544
0.15000000000000002, 1, 0.11736
0.15000000000000002, 2, 0.3338
0.15000000000000002, 3, 0.53376
0.15000000000000002, 4, 0.68432
0.15000000000000002, 5, 0.78268
0.2, 1, 0.19596
0.2, 2, 0.48532
0.2, 3, 0.69732
0.2, 4, 0.8236
0.2, 5, 0.89408
0.25, 1, 0.28616
0.25, 2, 0.62324
0.25, 3, 0.8106
0.25, 4, 0.89984
0.25, 5, 0.94124
0.30000000000000004, 1, 0.37696
0.30000000000000004, 2, 0.73052
0.30000000000000004, 3, 0.87924
0.30000000000000004, 4, 0.93984
0.30000000000000004, 5, 0.96524
0.35000000000000003, 1, 0.4694
0.35000000000000003, 2, 0.8144
0.35000000000000003, 3, 0.923
0.35000000000000003, 4, 0.96092
0.35000000000000003, 5, 0.97508
0.4, 1, 0.55876
0.4, 2, 0.87308
0.4, 3, 0.9492
0.4, 4, 0.97316
0.4, 5, 0.98056
0.45, 1, 0.64076
0.45, 2, 0.91136
0.45, 3, 0.96384
0.45, 4, 0.97804
0.45, 5, 0.98436
0.5, 1, 0.71316
0.5, 2, 0.9372
0.5, 3, 0.97296
0.5, 4, 0.98164
0.5, 5, 0.98692
0.55, 1, 0.78276
0.55, 2, 0.95248
0.55, 3, 0.97712
0.55, 4, 0.98552
0.55, 5, 0.98672
0.6000000000000001, 1, 0.83064
0.6000000000000001, 2, 0.96684
0.6000000000000001, 3, 0.98244
0.6000000000000001, 4, 0.98744
0.6000000000000001, 5, 0.98688
0.65, 1, 0.8744
0.65, 2, 0.97296
0.65, 3, 0.9834
0.65, 4, 0.98828
0.65, 5, 0.98812
0.7000000000000001, 1, 0.9068
0.7000000000000001, 2, 0.979
0.7000000000000001, 3, 0.98532
0.7000000000000001, 4, 0.98868
0.7000000000000001, 5, 0.98804
0.75, 1, 0.93628
0.75, 2, 0.98376
0.75, 3, 0.98756
0.75, 4, 0.98848
0.75, 5, 0.98832
0.8, 1, 0.95552
0.8, 2, 0.98364
0.8, 3, 0.9866
0.8, 4, 0.9888
0.8, 5, 0.98928
0.8500000000000001, 1, 0.96912
0.8500000000000001, 2, 0.98656
0.8500000000000001, 3, 0.98728
0.8500000000000001, 4, 0.98896
0.8500000000000001, 5, 0.9894
0.9, 1, 0.97784
0.9, 2, 0.98824
0.9, 3, 0.98932
0.9, 4, 0.98764
0.9, 5, 0.98984
0.9500000000000001, 1, 0.98376
0.9500000000000001, 2, 0.9886
0.9500000000000001, 3, 0.98952
0.9500000000000001, 4, 0.9894
0.9500000000000001, 5, 0.9896
1.0, 1, 0.98748
1.0, 2, 0.98904
1.0, 3, 0.98964
1.0, 4, 0.98836
1.0, 5, 0.98872
